t, x1, y1, x2, y2
78044.078298, 24439.574968, -38614.806960, 1660940134.330496, -185692453.492627
78211.067759, 24574.785063, -38748.524300, 1661462870.413945, -180956356.969070
78378.057220, 24710.429025, -38882.288676, 1661972006.835535, -176218786.087598
78545.046681, 24846.506987, -39016.098851, 1662467539.445659, -171479779.628346
78712.036142, 24983.019076, -39149.953587, 1662949464.203759, -166739376.382921
78879.025603, 25119.965419, -39283.851647, 1663417777.178364, -161997615.154104
79046.015064, 25257.346138, -39417.791792, 1663872474.547112, -157254534.755553
79213.004525, 25395.161351, -39551.772783, 1664313552.596783, -152510174.011504
79379.993986, 25533.411173, -39685.793382, 1664741007.723325, -147764571.756476
79546.983447, 25672.095716, -39819.852350, 1665154836.431882, -143017766.834967
79713.972908, 25811.215087, -39953.948446, 1665555035.336820, -138269798.101161
79880.962369, 25950.769392, -40088.080432, 1665941601.161752, -133520704.418627
80047.951830, 26090.758730, -40222.247066, 1666314530.739563, -128770524.660023
80214.941291, 26231.183200, -40356.447108, 1666673821.012435, -124019297.706792
80381.930752, 26372.042896, -40490.679319, 1667019469.031868, -119267062.448872
80548.920213, 26513.337909, -40624.942456, 1667351471.958704, -114513857.784391
80715.909674, 26655.068325, -40759.235279, 1667669827.063150, -109759722.619370
80882.899135, 26797.234228, -40893.556545, 1667974531.724795, -105004695.867426
81049.888596, 26939.835698, -41027.905014, 1668265583.432635, -100248816.449470
81216.878057, 27082.872811, -41162.279444, 1668542979.785089, -95492123.293414
81383.867518, 27226.345642, -41296.678592, 1668806718.490017, -90734655.333864
81550.856979, 27370.254259, -41431.101216, 1669056797.364743, -85976451.511829
81717.846440, 27514.598729, -41565.546074, 1669293214.336065, -81217550.774418
81884.835901, 27659.379115, -41700.011923, 1669515967.440277, -76457992.074543
82051.825362, 27804.595474, -41834.497519, 1669725054.823181, -71697814.370618
82218.814823, 27950.247864, -41969.001620, 1669920474.740106, -66937056.626260
82385.804284, 28096.336336, -42103.522983, 1670102225.555916, -62175757.809994
82552.793745, 28242.860939, -42238.060365, 1670270305.745028, -57413956.894950
82719.783206, 28389.821718, -42372.612521, 1670424713.891424, -52651692.858564
82886.772667, 28537.218715, -42507.178208, 1670565448.688662, -47889004.682281
83053.762128, 28685.051969, -42641.756183, 1670692508.939884, -43125931.351254
83220.751589, 28833.321512, -42776.345202, 1670805893.557832, -38362511.854046
83387.741050, 28982.027378, -42910.944021, 1670905601.564853, -33598785.182332
83554.730511, 29131.169593, -43045.551395, 1670991632.092911, -28834790.330597
83721.719972, 29280.748182, -43180.166080, 1671063984.383591, -24070566.295836
83888.709433, 29430.763165, -43314.786833, 1671122657.788110, -19306152.077261
84055.698894, 29581.214560, -43449.412409, 1671167651.767320, -14541586.675995
84222.688356, 29732.102381, -43584.041564, 1671198965.891717, -9776909.094775
84389.677817, 29883.426637, -43718.673054, 1671216599.841442, -5012158.337655
84556.667278, 30035.187335, -43853.305634, 1671220553.406289, -247373.409702
84723.656739, 30187.384479, -43987.938059, 1671210826.485708, 4517406.683298
84890.646200, 30340.018068, -44122.569086, 1671187419.088801, 9282142.935143
85057.635661, 30493.088098, -44257.197470, 1671150331.334335, 14046796.339515
85224.625122, 30646.594563, -44391.821966, 1671099563.450733, 18811327.890274
85391.614583, 30800.537451, -44526.441330, 1671035115.776079, 23575698.581764
85558.604044, 30954.916748, -44661.054318, 1670956988.758117, 28339869.409109
85725.593505, 31109.732436, -44795.659686, 1670865182.954250, 33103801.368511
85892.582966, 31264.984494, -44930.256189, 1670759699.031537, 37867455.457552
86059.572427, 31420.672897, -45064.842583, 1670640537.766691, 42630792.675494
86226.561888, 31576.797618, -45199.417623, 1670507700.046072, 47393774.023574
86393.551349, 31733.358623, -45333.980066, 1670361186.865691, 52156360.505307
86560.540810, 31890.355878, -45468.528668, 1670200999.331196, 56918513.126785
